Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_039241.1,,"Fadda,Z., Daros,J.A., Fagoaga,C., Flores,R., Duran-Vila,N.",2018-08-24T00:00:00Z,2,Eggplant latent viroid,Elaviroid,Avsunviroidae,ssRNA,333,RefSeq,complete,,,1,Spain:Valencia,Spain,,Solanum melongena,plant leaf,,,"Eggplant latent viroid complete genome, isolate 2"
NC_003540.1,,"Navarro,B., Flores,R.",1997-11-30T00:00:00Z,Horst,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,RefSeq,complete,,,1,,,,,,,,"Chrysanthemum chlorotic mottle viroid, complete genome"
NC_003636.1,,"Hernandez,C., Flores,R.",1993-08-02T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,RefSeq,complete,,,1,,,,,,,,"Peach latent mosaic viroid, complete genome"
NC_001410.1,,"Symons,R.H.",1993-04-28T00:00:00Z,,Avocado sunblotch viroid,Avsunviroid,Avsunviroidae,ssRNA,247,RefSeq,complete,,,1,,,,,,,,"Avocado sunblotch viroid, complete genome"
MW046337.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2021-08-31T00:00:00Z,HUEI_Ob166/1_1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,,Hungary: Erd,Hungary,,,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Ob166/1_1, complete sequence"
MW046338.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2021-08-31T00:00:00Z,HUEI_Ob166/1_2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,Hungary: Erd,Hungary,,,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Ob166/1_2, complete sequence"
MW046339.1,,"Barath,D., Jaksa-Czotter,N., Varga,T., Varallyay,E.",2021-08-31T00:00:00Z,HUEI_Ob166/1_3,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,349,GenBank,complete,,,,Hungary: Erd,Hungary,,,,2017-06,,"Peach latent mosaic viroid isolate HUEI_Ob166/1_3, complete sequence"
LC643025.1,,"Jeong,R.D., Lee,H.J.",2021-08-04T00:00:00Z,KPp,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,South Korea,South Korea,,Prunus persica,,,,"Peach latent mosaic viroid KPp RNA, complete genome"
MT702581.1,,"Jo,Y., Cho,W.K.",2021-06-29T00:00:00Z,p4r,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,,South Korea,South Korea,,Prunus persica,,2019,,"Peach latent mosaic viroid isolate p4r, complete genome"
MT127883.1,,"Sun,P., Zhang,L., Li,Z.",2021-02-03T00:00:00Z,AHVd1,Apple hammerhead viroid,Pelamoviroid,Avsunviroidae,ssRNA,433,GenBank,complete,,,,China: Shaanxi,China,,Malus domestica,plant leaf,,,"Apple hammerhead viroid isolate AHVd1, complete genome"
