Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_018451.1,,"Marmonier,A., Vigne,E., Komar,V., Demangeat,G., Besse,S., Gugerli,P., Lemaire,O.",2012-08-20T00:00:00Z,ba,Arabis mosaic virus small satellite RNA barley/CHE/1991,,,RNA,301,RefSeq,complete,,RNA3-VI,,Switzerland,Switzerland,,Hordeum vulgare,,1991,,"Arabis mosaic virus small satellite RNA barley/CHE/1991 RNA3-VI, complete genome"
NC_003380.1,,"Collins,R.F., Gellatly,D.L., Sehgal,O.P., Abouhaidar,M.G., AbouHaidar,M.G.",1998-01-10T00:00:00Z,RYMV-I; RYMV-K,Rice yellow mottle virus satellite,,,RNA,220,RefSeq,complete,,,1,,,,,,,,"Rice yellow mottle virus satellite, complete genome"
NC_001546.1,,"Kaper,J.M., Tousignant,M.E., Steger,G.",1993-08-03T00:00:00Z,,Arabis mosaic virus small satellite RNA,,,RNA,300,RefSeq,complete,,,1,,,,,,,,"Arabis mosaic virus small satellite RNA, complete genome"
NC_003851.1,,"Davies,C., Haseloff,J., Symons,R.H.",1993-08-03T00:00:00Z,,Subterranean clover mottle virus satellite RNA,,,RNA,388,RefSeq,complete,,,1,,,,,,,,"Subterranean clover mottle virus satellite RNA, complete genome"
NC_003889.1,,"Buzayan,J.M., Gerlach,W.L., Bruening,G., Keese,P., Gould,A.R.",1993-08-03T00:00:00Z,,Tobacco ringspot virus satellite RNA,,,RNA,359,RefSeq,complete,,,1,,,,,,,,"Tobacco ringspot virus satellite RNA, complete genome"
NC_003533.1,,"Miller,W.A., Hercus,T., Waterhouse,P.M., Gerlach,W.L.",1993-08-02T00:00:00Z,,Cereal yellow dwarf virus-RPV satellite RNA,,,RNA,322,RefSeq,complete,,,1,,,,,,,,"Cereal yellow dwarf virus-RPV satellite RNA, complete genome"
NC_003850.1,,"Haseloff,J., Symons,R.H.",1993-08-02T00:00:00Z,,Solanum nodiflorum mottle virus satellite RNA,,,RNA,377,RefSeq,complete,,,1,,,,,,,,"Solanum nodiflorum mottle virus satellite RNA, complete genome"
NC_003906.1,,"Haseloff,J., Symons,R.H.",1993-08-02T00:00:00Z,,Velvet tobacco mottle virus Satellite RNA,,,RNA,366,RefSeq,complete,,,1,,,,Nicotiana clevelandii,,,,"Velvet tobacco mottle virus Satellite RNA, complete genome"
NC_003798.1,,"Keese,P., Bruening,G., Symons,R.H.",1986-01-28T00:00:00Z,,Lucerne transient streak virus satellite RNA,,,RNA,324,RefSeq,complete,,,,,,,,,,,"Lucerne transient streak virus satellite RNA, complete genome"
GQ369531.1,,"Marmonier,A., Vigne,E., Komar,V., Demangeat,G., Besse,S., Gugerli,P., Lemaire,O.",2012-08-01T00:00:00Z,ba,Arabis mosaic virus small satellite RNA barley/CHE/1991,,,RNA,301,GenBank,complete,,RNA3-VI,,Switzerland,Switzerland,,Hordeum vulgare,,1991,,"Arabis mosaic virus small satellite RNA barley/CHE/1991 isolate ba, complete sequence"
HQ680397.1,,"Arthur,K., Collins,N., Yazarlou,A., Randles,J., Arthur,K.R., Randles,J.W., Gould,A.",2011-05-10T00:00:00Z,K1v,Velvet tobacco mottle virus Satellite RNA,,,RNA,366,GenBank,complete,,,1,Australia,Australia,,Nicotiana clevelandii,,2010,,"Velvet tobacco mottle virus Satellite RNA isolate K1v, complete sequence"
HQ680398.1,,"Arthur,K., Collins,N., Yazarlou,A., Randles,J., Arthur,K.R., Randles,J.W., Gould,A.",2011-05-10T00:00:00Z,R17v,Velvet tobacco mottle virus Satellite RNA,,,RNA,366,GenBank,complete,,,1,Australia,Australia,,Nicotiana clevelandii,,2010,,"Velvet tobacco mottle virus Satellite RNA isolate R17v, complete sequence"
M21212.1,,"Kaper,J.M., Tousignant,M.E., Steger,G.",1993-08-03T00:00:00Z,,Arabis mosaic virus small satellite RNA,,,RNA,300,GenBank,complete,,,1,,,,,,,,"Arabis mosaic virus small satellite RNA, complete genome"
J02439.1,,"Haseloff,J., Symons,R.H.",1993-08-02T00:00:00Z,,Velvet tobacco mottle virus Satellite RNA,,,RNA,366,GenBank,complete,,,1,,,,Nicotiana clevelandii,,,,Velvet tobacco mottle virus Satellite RNA complete sequence
