Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_001653.2,,"Saldanha,J.A., Thomas,H.C., Monjardino,J.P., Makino,S., Chang,M.F., Shieh,C.K., Kamahora,T., Vannier,D.M., Govindarajan,S., Lai,M.M.",1993-04-29T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,RefSeq,complete,,,2,,,,,,,"Hepatitis delta virus, complete genome"
D01075.1,,"Makino,S., Chang,M.F., Shieh,C.K., Kamahora,T., Vannier,D.M., Govindarajan,S., Lai,M.M., Saldanha,J.A., Thomas,H.C., Monjardino,J.P.",1993-04-29T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,2,,,,,,,"Hepatitis delta virus genomic RNA, complete genome"
MT649206.1,,"Bergner,L.M., Orton,R.J., Broos,A., Tello,C., Becker,D.J., Carrera,J.E., Patel,A.H., Biek,R., Streicker,D.G., Bergner,L., Orton,R., Becker,D., Carrera,J., Patel,A., Streicker,D.",2020-08-31T00:00:00Z,Bat deltavirus,Deltavirus,,ssRNA(-),1692,GenBank,complete,,,1,Peru,,Desmodus rotundus,oronasopharynx,2016,,"Bat deltavirus isolate DesRot/Peru/AYA11_DrDV-B, complete genome"
MT649207.1,,"Bergner,L.M., Orton,R.J., Broos,A., Tello,C., Becker,D.J., Carrera,J.E., Patel,A.H., Biek,R., Streicker,D.G., Bergner,L., Orton,R., Becker,D., Carrera,J., Patel,A., Streicker,D.",2020-08-31T00:00:00Z,Bat deltavirus,Deltavirus,,ssRNA(-),1694,GenBank,complete,,,1,Peru,,Desmodus rotundus,oronasopharynx,2016,,"Bat deltavirus isolate DesRot/Peru/AYA14_DrDV-A, complete genome"
MT649208.1,,"Bergner,L.M., Orton,R.J., Broos,A., Tello,C., Becker,D.J., Carrera,J.E., Patel,A.H., Biek,R., Streicker,D.G., Bergner,L., Orton,R., Becker,D., Carrera,J., Patel,A., Streicker,D.",2020-08-31T00:00:00Z,Bat deltavirus,Deltavirus,,ssRNA(-),1692,GenBank,complete,,,1,Peru,,Desmodus rotundus,oronasopharynx,2016,,"Bat deltavirus isolate DesRot/Peru/CAJ1_DrDV-B, complete genome"
MT649209.1,,"Bergner,L.M., Orton,R.J., Broos,A., Tello,C., Becker,D.J., Carrera,J.E., Patel,A.H., Biek,R., Streicker,D.G., Bergner,L., Orton,R., Becker,D., Carrera,J., Patel,A., Streicker,D.",2020-08-31T00:00:00Z,Bat deltavirus,Deltavirus,,ssRNA(-),1694,GenBank,complete,,,1,Peru,,Desmodus rotundus,oronasopharynx,2016,,"Bat deltavirus isolate DesRot/Peru/LMA6_DrDV-B, complete genome"
MT583791.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1600,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2014-09-03,,"Hepatitis delta virus isolate HD1-2000236-pg, complete genome"
MT583794.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1641,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2015-02-05,,"Hepatitis delta virus isolate HD1-2000322-pg, complete genome"
MT583796.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1642,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2015-04-26,,"Hepatitis delta virus isolate HD1-2000372-pg, complete genome"
MT583798.1,,"Berg,M.G., Olivo,A., Forberg,K., Harris,B.J., Yamaguchi,J., Shirazi,R., Gozlan,Y., Sauleda,S., Kaptue,L., Rodgers,M.A., Mor,O., Cloherty,G.A.",2020-08-19T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Israel,,Homo sapiens,blood,2015-09-29,,"Hepatitis delta virus isolate HD1-2000570-cg, complete genome"
