MT993977.1	MT993977.1
LC579907.1	LC579907.1
MN786530.1	MN786530.1
MN786530.1	MN786529.1
MN786530.1	MK188692.1
MN786530.1	MK188695.1
MN786530.1	MH643696.1
MN786530.1	MH643698.1
MN786530.1	MH643699.1
MN786530.1	MH643700.1
MN786530.1	MH643701.1
MN786530.1	MH643703.1
MN786530.1	MH643712.1
MN786530.1	MH643713.1
MN786530.1	MH643714.1
MN786530.1	MH643715.1
MN786530.1	MH643716.1
MN786530.1	MH643717.1
MN786530.1	MH643718.1
MN786530.1	MH643719.1
MN786530.1	MH643720.1
MN786530.1	MH643721.1
MN786530.1	MH643722.1
MN786530.1	MH643723.1
MN786530.1	MH643724.1
MN786530.1	MH643725.1
MN786530.1	MH643726.1
MN786530.1	MH643727.1
MN786530.1	NC_028132.1
MN857144.1	MN857144.1
MN857144.1	MN857143.1
MK947213.1	MK947213.1
MK947213.1	MK188697.1
MK947213.1	MT993976.1
MK947213.1	MK188694.1
MK947213.1	LC579906.1
MK947213.1	MK188696.1
MK947213.1	MK188704.1
MK947213.1	MK188698.1
MK947213.1	MK188705.1
MK947213.1	MF402929.1
MK947213.1	MF402930.1
MK947213.1	MF402931.1
MK947213.1	MF402932.1
MK947213.1	MF402933.1
MK947213.1	MF402934.1
MK947213.1	MF402935.1
MK947213.1	MF402936.1
MK947213.1	MF402937.1
MK947213.1	MF402938.1
MK947213.1	MK188700.1
MK947213.1	MK188690.1
MK947213.1	MK188699.1
MK947213.1	MK188702.1
MK947213.1	MK188703.1
MK947213.1	MT127883.1
MK947213.1	MT127884.1
MK947213.1	MH049330.1
MK947213.1	MH049331.1
MK947213.1	MG662372.1
MK947213.1	MG662373.1
MK947213.1	MG662375.1
MK947213.1	MG662376.1
MH974831.1	MH974831.1
MK795564.1	MK795564.1
MK795568.1	MK795568.1
MK795570.1	MK795570.1
MK795570.1	MK795569.1
MK795570.1	MK795589.1
MK795570.1	MK795608.1
MK795571.1	MK795571.1
MK795574.1	MK795574.1
MK795576.1	MK795576.1
MK795577.1	MK795577.1
MK795579.1	MK795579.1
MK795579.1	MK795597.1
MK795581.1	MK795581.1
MK795582.1	MK795582.1
MK795582.1	MK795629.1
MK795583.1	MK795583.1
MK795586.1	MK795586.1
MK795591.1	MK795591.1
MK795592.1	MK795592.1
MK795599.1	MK795599.1
MK795601.1	MK795601.1
MK795601.1	MK795554.1
MK795601.1	MK795600.1
MK795603.1	MK795603.1
MK795603.1	MK795539.1
MK795603.1	MK795520.1
MK795603.1	MK795529.1
MK795603.1	MK795536.1
MK795603.1	MK795537.1
MK795603.1	MK795538.1
MK795603.1	MK795548.1
MK795603.1	MK795550.1
MK795603.1	MK795553.1
MK795603.1	MK795555.1
MK795603.1	MK795556.1
MK795603.1	MK795558.1
MK795603.1	MK795559.1
MK795603.1	MK795560.1
MK795603.1	MK795565.1
MK795603.1	MK795572.1
MK795603.1	MK795573.1
MK795603.1	MK795578.1
MK795603.1	MK795580.1
MK795603.1	MK795584.1
MK795603.1	MK795585.1
MK795603.1	MK795587.1
MK795603.1	MK795590.1
MK795603.1	MK795594.1
MK795603.1	MK795595.1
MK795603.1	MK795596.1
MK795603.1	MK795602.1
MK795603.1	MK795611.1
MK795603.1	MK795614.1
MK795603.1	MK795615.1
MK795603.1	MK795616.1
MK795603.1	MK795617.1
MK795603.1	MK795621.1
MK795603.1	MK795624.1
MK795603.1	MK795627.1
MK795603.1	MK795628.1
MK795603.1	MK795640.1
MK795603.1	MK795641.1
MK795603.1	KT600317.1
MK795603.1	KT600318.1
MK795604.1	MK795604.1
MK795605.1	MK795605.1
MK795606.1	MK795606.1
MK795607.1	MK795607.1
MK795613.1	MK795613.1
MK795623.1	MK795623.1
MK795623.1	MK795622.1
MK795632.1	MK795632.1
MK795633.1	MK795633.1
MK795635.1	MK795635.1
MK795635.1	MK795549.1
MK795635.1	MK795625.1
MK795635.1	MK795626.1
MK795637.1	MK795637.1
MK795638.1	MK795638.1
MK795639.1	MK795639.1
MK795642.1	MK795642.1
MK795642.1	MK795612.1
MK795644.1	MK795644.1
MK795644.1	MK795643.1
LC500205.1	LC500205.1
LC500206.1	LC500206.1
MK571486.1	MK571486.1
MK571486.1	MK888699.1
MK571486.1	MK888700.1
MK466372.1	MK466372.1
MH476218.1	MH476218.1
MH476218.1	LC507876.1
MH476218.1	LC507888.1
MH476218.1	LC333095.1
MH476218.1	KX355199.1
MH476218.1	KX355200.1
MH476218.1	KJ754184.1
MH476218.1	MK425610.1
MH476218.1	MF979531.1
MH476218.1	MF979532.1
MH476218.1	KY270463.1
MH476218.1	KY270462.1
MH476218.1	KR909028.1
MH476218.1	KF712280.1
LC089752.1	LC089752.1
LC089753.1	LC089753.1
KT033012.1	KT033012.1
KT033012.1	KT033010.1
KT033012.1	KT033014.1
KT033012.1	KT033011.1
KT033012.1	KT033013.1
KT033012.1	KT033015.1
KT033012.1	KT033016.1
KT033012.1	KT033023.1
KT033012.1	KT033025.1
KT033012.1	KT033027.1
KT033012.1	KT033030.1
KT033012.1	KT033017.1
KT033012.1	KT033029.1
KT033012.1	KT033018.1
KT033012.1	KT033019.1
KT033012.1	KT033020.1
KT033012.1	KT033021.1
KT033012.1	KT033022.1
KT033012.1	KT033024.1
KT033012.1	KT033026.1
KT033012.1	KT033028.1
KT033012.1	KT033032.1
MG711748.1	MG711748.1
MG711748.1	MG711666.1
MG711748.1	MG711678.1
MG711748.1	MG711762.1
MG711748.1	MG711688.1
MG711748.1	MG711694.1
MG711748.1	MG711698.1
MG711748.1	MG711700.1
MG711748.1	MG711701.1
MG711748.1	MG711704.1
MG711748.1	MG711705.1
MG711748.1	MG711718.1
MG711748.1	MG711726.1
MG711748.1	MG711752.1
MG711748.1	MG711753.1
MG711748.1	MG711755.1
MG711748.1	MG711774.1
MG711748.1	MG711775.1
MG711748.1	MG711793.1
MG711748.1	MG711797.1
MG711748.1	MG711803.1
MG711748.1	MG711805.1
MG711754.1	MG711754.1
MG711759.1	MG711759.1
MG711759.1	MG711665.1
MG711759.1	MG711674.1
MG711759.1	MG711681.1
MG711759.1	MG711686.1
MG711759.1	MG711692.1
MG711759.1	MG711721.1
MG711759.1	MG711738.1
MG711759.1	MG711722.1
