Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_035620.1,,"Jiang,J., Zhang,Z., Hu,B., Hu,G., Wang,H., Faure,C., Marais,A., Candresse,T., Li,S.",2017-08-28T00:00:00Z,20160105,Lychee viroid-like RNA,Apscaviroid,Pospiviroidae,ssRNA,304,RefSeq,complete,,,1,,,,Litchi chinensis,,2016-01-05,,"Lychee viroid-like RNA isolate 20160105, complete sequence"
NC_027432.1,,"Verhoeven,J.T., Roenhorst,J.W., Hooftman,M., Meekes,E.T., Flores,R., Serra,P., Meekes,E.T.M., Verhoeven,J.T.J.",2015-06-30T00:00:00Z,Vd21,Portulaca latent viroid,Pospiviroid,Pospiviroidae,ssRNA,351,RefSeq,complete,,,1,Netherlands,Netherlands,,Portulaca,,2012-10,,"Portulaca latent viroid isolate Vd21, complete genome"
NC_021720.1,,"Ito,T., Suzaki,K., Nakano,M., Sato,A.",2013-07-10T00:00:00Z,,Persimmon viroid 2,Apscaviroid,Pospiviroidae,ssRNA,358,RefSeq,complete,,,1,,,,Diospyros virginiana,,,,"Persimmon viroid 2 genomic RNA, complete genome"
NC_020160.1,,"Verhoeven,J.T., Meekes,E.T., Roenhorst,J.W., Flores,R., Serra,P., Verhoeven,K., Meekes,E., Roenhorst,A.",2013-01-24T00:00:00Z,4706174,Dahlia latent viroid,Hostuviroid,Pospiviroidae,ssRNA,342,RefSeq,complete,,,1,Netherlands,Netherlands,,Dahlia pinnata,,,,"Dahlia latent viroid, complete sequence"
NC_012805.1,,"Hou,W.Y., Li,S.F., Wu,Z.J., Jiang,D.M., Sano,T.",2009-06-15T00:00:00Z,,Coleus blumei viroid 6,Coleviroid,Pospiviroidae,ssRNA,342,RefSeq,complete,,,1,China,China,,Plectranthus scutellarioides,,,,"Coleus blumei viroid 6, complete genome"
NC_012127.1,,"Hou,W.Y., Sano,T., Li,F., Wu,Z.J., Li,L., Li,S.F., Hou,W., Li,S.",2009-03-04T00:00:00Z,,Coleus blumei viroid 5,Coleviroid,Pospiviroidae,ssRNA,274,RefSeq,complete,,,1,China:Tianjin,China,,Plectranthus scutellarioides,,,,"Coleus blumei viroid 5, complete genome"
NC_011590.1,,"Verhoeven,J.T., Jansen,C.C., Roenhorst,J.W., Flores,R., de la Pena,M., Jansen,C.C.C.",2008-11-19T00:00:00Z,,Pepper chat fruit viroid,Pospiviroid,Pospiviroidae,ssRNA,348,RefSeq,complete,,,1,,,,Capsicum annuum,,,,"Pepper chat fruit viroid, complete genome"
NC_010165.1,,"Serra,P., Barbosa,C.J., Daros,J.A., Flores,R., Duran-Vila,N.",2007-12-17T00:00:00Z,,Citrus viroid V,Apscaviroid,Pospiviroidae,ssRNA,294,RefSeq,complete,,,1,Spain,Spain,,,,,,"Citrus viroid V, complete genome"
NC_003264.1,,"Sieburth,P.J., Irey,M.S., Garnsey,S.M., Owens,R.A.",2001-11-29T00:00:00Z,E21a,Citrus dwarfing viroid,Apscaviroid,Pospiviroidae,ssRNA,292,RefSeq,complete,,,,USA: Florida,USA,FL,,,,,"Citrus dwarfing viroid, complete genome"
NC_004359.1,,"Ito,T., Ieki,H., Ozaki,K.",2001-04-03T00:00:00Z,,Citrus viroid VI,Apscaviroid,Pospiviroidae,ssRNA,330,RefSeq,complete,,,1,,,,,,,,"Citrus viroid VI, complete genome"
NC_000885.1,,"Singh,R.P., Nie,X., Singh,M.",1999-08-09T00:00:00Z,,Tomato chlorotic dwarf viroid,Pospiviroid,Pospiviroidae,ssRNA,360,RefSeq,complete,,,1,,,,,,,,"Tomato chlorotic dwarf viroid, complete genome"
