Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_040729.1,,"Hetzel,U., Szirovicza,L., Smura,T., Prahause,B., Vapalahti,O., Kipar,A., Hepojoki,J.",2019-02-12T00:00:00Z,F18-5,Snake deltavirus F18-5,Deltavirus,Kolmioviridae,ssRNA(-),1711,RefSeq,complete,,,,Switzerland,Switzerland,,Boa constrictor,,2018-01,,"Snake deltavirus F18-5, complete genome"
NC_040845.1,,"Wille,M., Netter,H.J., Littlejohn,M., Yuen,L., Shi,M., Eden,J.-S., Klaassen,M., Holmes,E.C., Hurt,A.C., Netter,H.",2019-02-12T00:00:00Z,,Avian HDV-like agent,Deltavirus,Kolmioviridae,ssRNA(-),1706,RefSeq,complete,,,,Australia,Australia,,Anas,feces,2013,,"Avian HDV-like agent, complete genome"
NC_001653.2,,"Saldanha,J.A., Thomas,H.C., Monjardino,J.P., Makino,S., Chang,M.F., Shieh,C.K., Kamahora,T., Vannier,D.M., Govindarajan,S., Lai,M.M.",1993-04-29T00:00:00Z,,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1682,RefSeq,complete,,,2,,,,,,,,"Hepatitis delta virus, complete genome"
MT050453.1,,"Chao,M., Iang,S.-B., Kuo,C.-Y., Chang,J.-Y., Lee,C.-M., Chen,C.-H.",2020-11-28T00:00:00Z,TN10,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Taiwan,Taiwan,,Homo sapiens,blood,2010-05-20,,"Hepatitis delta virus isolate TN10, complete genome"
LC575944.1,,"Iwamoto,M., Shibata,Y., Kawasaki,J., Kojima,S., Li,Y.T., Iwami,S., Wu,H.L., Wada,K., Tomonaga,K., Watashi,K., Horie,M.",2020-09-30T00:00:00Z,,Lonchura striata deltavirus,Deltavirus,Kolmioviridae,ssRNA(-),1708,GenBank,complete,,,,Japan,Japan,,Lonchura striata,,2020-07-30,,"Lonchura striata deltavirus L.striata/Japan/SWH1/2020 RNA, complete genome"
MN984407.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1376,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1676,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1376, complete genome"
MN984408.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr1564,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1682,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr1564, complete genome"
MN984409.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr660,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr660, complete genome"
MN984410.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr436,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1678,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr436, complete genome"
MN984411.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr445,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1682,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr445, complete genome"
MN984412.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr599,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr599, complete genome"
MN984413.1,,"Semenov,A.V., Ostankova,Y.V., Nogoybaeva,K.A., Kasymbekova,K.T., Tobokalova,S.T., Totolian,A.A., Lavrent'eva,I.N.",2020-09-13T00:00:00Z,HDV_Kyr914,Hepatitis delta virus,Deltavirus,Kolmioviridae,ssRNA(-),1679,GenBank,complete,,,,Kyrgyzstan,Kyrgyzstan,,Homo sapiens,blood,2015,,"Hepatitis delta virus isolate HDV_Kyr914, complete genome"
