#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
Hairpin              RF00173   NC_018451.1          -          cm        1       52      154      103      -    no    1 0.52   0.0   75.4   2.2e-17 !   Hairpin ribozyme
Hammerhead_3         RF00008   NC_018451.1          -          cm        9       58        1       50      +    5'    2 0.58   0.0   18.2   0.00097 !   Hammerhead ribozyme (type III)
Hairpin              RF00173   NC_001546.1          -          cm        1       52      157      106      -    no    1 0.52   0.0   75.4   2.2e-17 !   Hairpin ribozyme
Hammerhead_3         RF00008   NC_001546.1          -          cm        9       58        1       50      +    5'    2 0.58   0.0   18.7    0.0007 !   Hammerhead ribozyme (type III)
Hammerhead_HH9       RF02275   NC_001546.1          -          cm       17       77       17       79      +    5'    2 0.59   0.0   11.2     0.033 ?   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   NC_003851.1          -          cm        1       58       56      111      +    no    1 0.48   0.0   55.5   6.9e-14 !   Hammerhead ribozyme (type III)
Hairpin              RF00173   NC_003889.1          -          cm        1       52      224      175      -    no    1 0.40   0.0   73.3   8.1e-17 !   Hairpin ribozyme
Hammerhead_3         RF00008   NC_003889.1          -          cm        9       58        1       48      +    5'    2 0.56   0.0   35.3   2.3e-08 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   NC_003889.1          -          cm        1       46       16       58      +    no    1 0.58   0.0   16.4     0.002 !   Hammerhead ribozyme (type I)
Hammerhead_3         RF00008   NC_003533.1          -          cm        1       58      246      192      -    no    1 0.55   0.0   50.9   1.1e-12 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   NC_003533.1          -          cm        1       46      226      182      -    no    1 0.51   0.0   23.9   7.6e-06 !   Hammerhead ribozyme (type I)
Hammerhead_HH9       RF02275   NC_003533.1          -          cm        1       77      235      167      -    no    1 0.55   0.0   14.2    0.0038 !   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   NC_003850.1          -          cm        1       58       42       95      +    no    1 0.48   0.0   47.2   1.3e-11 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   NC_003850.1          -          cm        7       40       67       97      +    no    1 0.45   0.0   15.7    0.0034 !   Hammerhead ribozyme (type I)
Hammerhead_HH9       RF02275   NC_003850.1          -          cm       19       54       67      109      +    no    1 0.49   0.0   11.9     0.025 ?   Hammerhead ribozyme HH9
Hammerhead_3         RF00008   NC_003906.1          -          cm        1       58       42       95      +    no    1 0.50   0.0   48.1     7e-12 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   NC_003906.1          -          cm        7       40       67       97      +    no    1 0.48   0.0   12.5     0.035 ?   Hammerhead ribozyme (type I)
Hammerhead_3         RF00008   NC_003798.1          -          cm        1       58      170      107      -    no    1 0.58   0.0   41.9   3.3e-10 !   Hammerhead ribozyme (type III)
Hammerhead_3         RF00008   NC_003798.1          -          cm        1       58      161      219      +    no    1 0.58   0.0   33.0     9e-08 !   Hammerhead ribozyme (type III)
Hammerhead_3         RF00008   HQ680397.1           -          cm       10       58        1       46      +    5'    2 0.50   0.0   38.4   3.2e-09 !   Hammerhead ribozyme (type III)
Hammerhead_1         RF00163   HQ680397.1           -          cm        7       40       18       48      +    no    1 0.48   0.0   12.5     0.035 ?   Hammerhead ribozyme (type I)
#
# Program:         cmscan
# Version:         1.1.4 (Dec 2020)
# Pipeline mode:   SCAN
# Query file:      ../db/2021-09-07/satellites.fasta
# Target file:     ../db/raw/ribozymes.cm
# Option settings: cmscan --tblout ../db/2021-09-07/satellites.infernal.tsv -E 0.1 --cpu 4 ../db/raw/ribozymes.cm ../db/2021-09-07/satellites.fasta 
# Current dir:     /Users/BenjaminLee/research/viroiddb/scripts
# Date:            Mon Sep 13 16:55:11 2021
# [ok]
